property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
flat,tarc maceo,sector 91,1.4,7407.0,3,3,3+,Relatively New,1700.0,0,0,0,0,0,0,Medium,High Floor
flat,m3m golfestate,sector 65,5.9,17544.0,3,3,3,Moderately Old,3043.0,1,0,0,0,0,2,Low,High Floor
flat,signature global city 81,sector 81,0.82,8641.0,2,2,3,Relatively New,955.0,0,0,0,0,0,0,Medium,Low Floor
flat,bestech park view grand spa,sector 81,3.3,12222.0,4,5,3+,Relatively New,3070.0,1,1,0,0,0,1,High,Mid Floor
flat,gls avenue 51,sector 92,0.5,7812.0,3,3,1,New Property,711.0,0,0,0,0,0,2,High,High Floor
flat,tulip purple,sector 69,1.8,9000.0,4,5,3+,Relatively New,2200.0,0,1,0,0,0,0,High,Mid Floor
flat,ireo the grand arch,sector 58,4.85,16934.0,4,5,3,Relatively New,3182.0,1,1,0,1,1,1,Medium,High Floor
flat,emaar palm heights,sector 77,1.79,8840.0,3,3,3,New Property,1600.0,0,1,0,0,0,1,Medium,Low Floor
flat,pareena coban residences,sector 99,1.13,5658.0,3,5,3,Relatively New,1790.0,0,1,0,0,1,0,Medium,Mid Floor
flat,dlf the ultima,sector 81,2.29,10926.0,3,4,3+,Relatively New,1900.0,0,1,0,0,0,2,High,High Floor
