Canonical_Location,Variant_Count,All_Variants
Prakash Hospital,1,Prakash Hospital
PHC Garhi Harsaru,1,PHC Garhi Harsaru
Oyster's Water Park,1,Oyster's Water Park
Miracles Apollo Hospital,1,Miracles Apollo Hospital
Najafgarh Kapashera Road,1,Najafgarh Kapashera Road
Zooper India Trampoline Park,1,Zooper India Trampoline Park
Vishwas Hospital,1,Vishwas Hospital
NH-48,1,NH-48
NH-8,1,NH-8
Najafgarh Jheel Bird Sanctuary,1,Najafgarh Jheel Bird Sanctuary
ZEN Golf Range & Academy,1,ZEN Golf Range & Academy
Vallores Pre School,1,Vallores Pre School
V Club,1,V Club
VIBGYOR High School,1,VIBGYOR High School
Narayana Junior College,1,Narayana Junior College
Narayana e-Techno School - Manesar,1,Narayana e-Techno School - Manesar
Yonex Badminton Stadium,1,Yonex Badminton Stadium
V-Square Sohna New Residential,1,V-Square Sohna New Residential
Naurangpur Cricket Stadium,1,Naurangpur Cricket Stadium
Vasant Kunj,1,Vasant Kunj
Vatika Business Centre,1,Vatika Business Centre
NH 148A,1,NH 148A
Vatika Sector Road,1,Vatika Sector Road
NH 08,1,NH 08
NH -8,1,NH -8
N.H-8,1,N.H-8
Museum of Folk and Tribal Art,1,Museum of Folk and Tribal Art
Muincipal Corporation of Gurugram,1,Muincipal Corporation of Gurugram
Mps World School,1,Mps World School
"Mount Olympus School, Sec 79",1,"Mount Olympus School, Sec 79"
Mount Olympus Junior School,1,Mount Olympus Junior School
Moulsari Avenue,1,Moulsari Avenue
Mother land public school,1,Mother land public school
"More Hypermart , Vipul business park",1,"More Hypermart , Vipul business park"
Moksh Wellness Pvt Ltd.,1,Moksh Wellness Pvt Ltd.
Minda Industries Nawada Fatehpur,1,Minda Industries Nawada Fatehpur
V'Lante Mall,1,V'Lante Mall
Nawada Cricket Accadmy,1,Nawada Cricket Accadmy
Oriental Bank of Commerce,1,Oriental Bank of Commerce
Raheja Market,1,Raheja Market
Minda Industries  Corporate Office,1,Minda Industries  Corporate Office
Umkal Hospital,1,Umkal Hospital
Old Delhi Gurgaon Road,1,Old Delhi Gurgaon Road
Old Sohna Dhani Road,1,Old Sohna Dhani Road
Omaxe Celebration Mall,1,Omaxe Celebration Mall
Umang Bhawaj Chawk,1,Umang Bhawaj Chawk
Metro World Mall,1,Metro World Mall
Nazafgarh - Gurgaon Road,1,Nazafgarh - Gurgaon Road
Omex City Centre Mall,1,Omex City Centre Mall
Ompee International School,1,Ompee International School
One Horizon Center Bus Stop,1,One Horizon Center Bus Stop
Open Tap,1,Open Tap
Open gym garden,1,Open gym garden
Orchid Business Park,1,Orchid Business Park
Old Bengali Market,1,Old Bengali Market
Ocus Medley Mall,1,Ocus Medley Mall
Unicosmos School,1,Unicosmos School
ORCHIDS The International School,1,ORCHIDS The International School
Unitech Business Zone,1,Unitech Business Zone
Minda Industries Limited,1,Minda Industries Limited
Nouveau Medics Multispeciality OPD,1,Nouveau Medics Multispeciality OPD
Northern Peripheral Road,1,Northern Peripheral Road
Nora Solomon Medicenter,1,Nora Solomon Medicenter
Nirvana Rd,1,Nirvana Rd
Ninex Mall,1,Ninex Mall
Urusvati Museum Of Folklore,1,Urusvati Museum Of Folklore
New Water Pond,1,New Water Pond
Netaji Subhash Marg,1,Netaji Subhash Marg
NeoSquare Shopping Mall,1,NeoSquare Shopping Mall
Nehru Stadium,1,Nehru Stadium
Neemrana Palace,1,Neemrana Palace
Spectra Hospital,1,Spectra Hospital
The Hive Shopping Mall,1,The Hive Shopping Mall
Rajesh Pilot Road,1,Rajesh Pilot Road
Shishu Kalyan School,1,Shishu Kalyan School
Vivek Model School,1,Vivek Model School
Suncity Market,1,Suncity Market
"Vivanta New Delhi, Dwarka",1,"Vivanta New Delhi, Dwarka"
Shiskshantar,1,Shiskshantar
Sun's Spa,1,Sun's Spa
Shiv Nadar School,1,Shiv Nadar School
Shiva Temple Tigra,1,Shiva Temple Tigra
Shivai Hospital,1,Shivai Hospital
Summer Fields School,1,Summer Fields School
Shivani public school,1,Shivani public school
Shoppers Stop,1,Shoppers Stop
Sultanpur National Park,1,Sultanpur National Park
Shree Balaji College,1,Shree Balaji College
Shree Deep Petrol Pump,1,Shree Deep Petrol Pump
Shri Balaji’s Multispeciality Hospital,1,Shri Balaji’s Multispeciality Hospital
W Pratiksha Hospital,1,W Pratiksha Hospital
Shikshantar - Primary School,1,Shikshantar - Primary School
Ram Krishna Public School,1,Ram Krishna Public School
Sunrise University,1,Sunrise University
Sector 84 Road,1,Sector 84 Road
Sector 86 Road,1,Sector 86 Road
WTC Plaza,1,WTC Plaza
Sector-21 Metro Dwarka,1,Sector-21 Metro Dwarka
Surajgarh Gurgaon,1,Surajgarh Gurgaon
Sethi Hospital,1,Sethi Hospital
Shaheed Bhagat Singh Chowk,1,Shaheed Bhagat Singh Chowk
Shalom Hills International School,1,Shalom Hills International School
Shalom Presidency School,1,Shalom Presidency School
"Suraj PG Degree College, Sec -75",1,"Suraj PG Degree College, Sec -75"
Shambhu Dayal High School,1,Shambhu Dayal High School
Shanti Tennis Academy,1,Shanti Tennis Academy
Sunset point,1,Sunset point
Sheetla Mata Mandir,1,Sheetla Mata Mandir
Shiksha Bharti Public School,1,Shiksha Bharti Public School
Shri Hanuman Ji Mandir,1,Shri Hanuman Ji Mandir
Signature Advanced Hospital,1,Signature Advanced Hospital
Signature Global Infinity Mall Sohna,1,Signature Global Infinity Mall Sohna
Signature Global Park,1,Signature Global Park
Society Park,1,Society Park
"Sodhi's Supermarket, Sector 82",1,"Sodhi's Supermarket, Sector 82"
Sohna Bus Stand,1,Sohna Bus Stand
Sohna Gurgaon Road,1,Sohna Gurgaon Road
Sohna Hill Viewpoint,1,Sohna Hill Viewpoint
St Pauls School,1,St Pauls School
Sri Ma Montessori International,1,Sri Ma Montessori International
Sohna road dhunela,1,Sohna road dhunela
Solitaire Banquet Hall,1,Solitaire Banquet Hall
South point Mall,1,South point Mall
Southern Periphery Road,1,Southern Periphery Road
Spaze Business Park,1,Spaze Business Park
SportsCube Center(Sports Complex),1,SportsCube Center(Sports Complex)
"Spaze Palazo, Golf Course Ext Rd",1,"Spaze Palazo, Golf Course Ext Rd"
Splendor Trade Tower,1,Splendor Trade Tower
St. Angel's Global,1,St. Angel's Global
Sneh Hospital,1,Sneh Hospital
Smart View Hotel and Resort,1,Smart View Hotel and Resort
Signature tower,1,Signature tower
Vivanta Dwarka New Delhi,1,Vivanta Dwarka New Delhi
Subway,1,Subway
Stymerra Chowk,1,Stymerra Chowk
Signature Hospital,1,Signature Hospital
State Bank of India,1,State Bank of India
Starbucks,1,Starbucks
Signum 107,1,Signum 107
St. Xavier's School,1,St. Xavier's School
Signum 36,1,Signum 36
Silver Streak Hospital,1,Silver Streak Hospital
Star Nursery,1,Star Nursery
"Singhania University, Manesar",1,"Singhania University, Manesar"
Star Mall,1,Star Mall
Skyview Corporate Park,1,Skyview Corporate Park
Sector 55/56 Metro Station,1,Sector 55/56 Metro Station
"Surajgarh Gurgaon, Golf Course Ext Rd",1,"Surajgarh Gurgaon, Golf Course Ext Rd"
Sushant University,1,Sushant University
"SS Omnia, Sector 86",1,"SS Omnia, Sector 86"
Rx Pharmacy,1,Rx Pharmacy
S N International School,1,S N International School
The Big Tree Cafe,1,The Big Tree Cafe
SCC Drive-In Cinema,1,SCC Drive-In Cinema
SCC Rooftop Drive-In,1,SCC Rooftop Drive-In
SCJ Academy,1,SCJ Academy
SCR Model School,1,SCR Model School
The Banyan Tree World School,1,The Banyan Tree World School
SGT Hospital 1,1,SGT Hospital 1
SGT Medical College,1,SGT Medical College
SGT UHTC Basai,1,SGT UHTC Basai
The Banyan Tree Hiking Area,1,The Banyan Tree Hiking Area
SPM Hospital,1,SPM Hospital
SRS Cinemas,1,SRS Cinemas
Tennis Vidyalaya (Tennis Academy),1,Tennis Vidyalaya (Tennis Academy)
"The Club, International City",1,"The Club, International City"
Rotary Public School,1,Rotary Public School
The Executive Centre,1,The Executive Centre
"WorldMark Gurgaon, Maidawas Rd",1,"WorldMark Gurgaon, Maidawas Rd"
Ramada by Wyndham Gurgaon,1,Ramada by Wyndham Gurgaon
Xavier’s International,1,Xavier’s International
The Holy Kingdom Public School,1,The Holy Kingdom Public School
Spazedge IT Park,1,Spazedge IT Park
Ramgarh Farms & Resort,1,Ramgarh Farms & Resort
Ramprastha Police Post,1,Ramprastha Police Post
WorldMark Gurgaon,1,WorldMark Gurgaon
Red Roses Public School,1,Red Roses Public School
Rao Bharat Singh International School,1,Rao Bharat Singh International School
Women Police Station,1,Women Police Station
Rathore IMT Hospital,1,Rathore IMT Hospital
The Hive,1,The Hive
The Heritage Pride Modern School,1,The Heritage Pride Modern School
Reach 3 Roads Shopping Mall,1,Reach 3 Roads Shopping Mall
SS Omnia Mall,1,SS Omnia Mall
Sahara Mall,1,Sahara Mall
Sector 53/54 Metro Station,1,Sector 53/54 Metro Station
Sai Sports Club cricket ground,1,Sai Sports Club cricket ground
Scottish High International School,1,Scottish High International School
Scottish International School,1,Scottish International School
Sealdah,1,Sealdah
Swastik Multispeciality Hospital,1,Swastik Multispeciality Hospital
Sealdah Railway Station,1,Sealdah Railway Station
Sector 10 Market,1,Sector 10 Market
Sector 102 Dhankot,1,Sector 102 Dhankot
Sector 29 Gurgaon Pubs and Bars,1,Sector 29 Gurgaon Pubs and Bars
Sector 37 Police Station,1,Sector 37 Police Station
McDonald's India 24 Hours,1,McDonald's India 24 Hours
Sector 42-43 Rapid Metro Station,1,Sector 42-43 Rapid Metro Station
Sector 42/43 Bus Stand,1,Sector 42/43 Bus Stand
Sector 45 SO Post Office,1,Sector 45 SO Post Office
Sushil Park,1,Sushil Park
Westin,1,Westin
Satyam Medicare Hospital,1,Satyam Medicare Hospital
Satya The Hive Mall,1,Satya The Hive Mall
Syndicate Bank,1,Syndicate Bank
Taj,1,Taj
Taxila cricket ground,1,Taxila cricket ground
Windsor International School,1,Windsor International School
