property_type,society,sector,price,built_up_area,price_per_sqft,bedRoom,bathroom,balcony,agePossession,study_room,servant_room,store_room,pooja_room,others,furnishing_type,luxury_category,floor_category
flat,Puri Aravallis,sector 43,16.8,3425.0,49051.09,4,0,0,New Property,0,0,0,0,0,Semi-Furnished,High,High Floor
flat,Godrej Meridien,sector 103,6.53,1827.0,35741.65,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Central Park Orchard,sector 63,4.0,3000.0,13333.33,3,0,0,Under Construction,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Signature Dax,sector ,21.0,4800.0,43750.0,5,0,0,New Property,0,0,0,0,0,Semi-Furnished,High,Low Floor
flat,Godrej Miraya,sector ,0.675,577.0,11698.44,2,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Mid Floor
flat,Whitelandurban Resort,sector 111,4.38,2380.0,18403.36,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,Low Floor
flat,Birla Navya Anaika,sector 83,2.0,1848.0,10822.51,3,0,0,Under Construction,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Sushant Lok Builder,sector 111,3.41,1895.0,17994.72,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,Low Floor
flat,,sector 111,3.74,2080.0,17980.77,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,Low Floor
flat,Hayatpur,sector 108,4.3,1550.0,27741.94,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,High Floor
flat,Puri Diplomatic,sector 67,2.8,1435.0,19512.2,2,0,0,New Property,0,0,0,0,0,Semi-Furnished,Low,High Floor
flat,Ss Cendana,sector 88,0.7,645.0,10852.71,3,0,0,Under Construction,0,0,0,0,0,Unfurnished,Medium,High Floor
flat,M3M Crown,sector 14,1.05,1420.0,7394.37,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,Low Floor
flat,M3M Crown,sector 83,1.52,981.0,15494.39,3,0,0,Under Construction,0,0,0,0,0,Unfurnished,Medium,High Floor
flat,Sobha,sector 65,15.0,2200.0,68181.82,4,0,0,Under Construction,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Ireovictory Valley,sector 89,0.8,646.0,12383.9,3,0,0,Under Construction,0,0,0,0,0,Unfurnished,Medium,High Floor
flat,Signature Imperial,sector 110,0.8,645.0,12403.1,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,High Floor
flat,Anamika Enclave,sector 70,5.3,2459.0,21553.48,5,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Ss Cendana,sector 62,6.0,2745.0,21857.92,3,0,0,Under Construction,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Tribeca Trump Tower,sector 37,4.06,2622.0,15484.36,3,0,0,Under Construction,0,0,0,0,0,Unfurnished,High,High Floor
flat,Rama,sector ,3.9,2305.0,16919.74,4,0,0,Under Construction,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Tulip Melrose,sector 2,1.35,1200.0,11250.0,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,,sector 36,4.93,1760.0,28011.36,4,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Signature De Luxe Dxp,sector ,2.35,1350.0,17407.41,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,,sector ,8.25,5350.0,15420.56,4,0,0,New Property,0,0,0,0,0,Semi-Furnished,High,Mid Floor
flat,Dwarka Expressway L,sector 63,9.0,2800.0,32142.86,4,0,0,Under Construction,0,0,0,0,0,Semi-Furnished,High,High Floor
flat,Eldeco Acclaim,sector 104,1.92,1100.0,17454.55,3,0,0,Under Construction,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,,sector ,2.6,1540.0,16883.12,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Ganga Kashi,sector ,2.25,1200.0,18750.0,3,0,0,Under Construction,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Paras Quartier,sector 61,4.75,2410.0,19709.54,3,0,0,Under Construction,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Dlf Arbour,sector 113,2.55,1665.0,15315.32,3,0,0,Under Construction,0,0,0,0,0,Semi-Furnished,Medium,High Floor
flat,Hero,sector 83,1.57,1450.0,10827.59,3,0,0,New Property,0,0,0,0,0,Semi-Furnished,Medium,Low Floor
